Name,URL,Category,Description,City,Country,Tags,Verified
Park Attwood Clinic,https://www.positivehealth.com/article/clinical-practice/park-attwood-clinic-an-individual-approach-to-health-care,Anthroposophic Medicine,Britain's only residential anthroposophic medical centre in Worcestershire with therapies and hydrotherapy,Kidderminster,UK,anthroposophic-medicine;clinic;therapies;residential,Yes
Raphael Hospital,https://www.raphaelhospital.co.uk/,Anthroposophic Medicine,The only anthroposophic hospital in the UK serving patients nationwide with 17-acre parkland,Brighton,UK,anthroposophic-medicine;hospital;neurological;rehabilitation,Yes
Klinik Arlesheim,https://www.klinik-arlesheim.ch,Anthroposophic Medicine,First anthroposophic hospital in the world founded in 1921 offering integrative medicine,Arlesheim,Switzerland,anthroposophic-medicine;hospital;integrative;switzerland,Yes
Filderklinik,https://www.mahle-stiftung.de/en/health-and-nursing-care/,Anthroposophic Medicine,Major anthroposophic hospital in Filderstadt Germany founded in 1974 with 33-bed pediatrics ward,Filderstadt,Germany,anthroposophic-medicine;hospital;pediatrics;germany,Yes
Gemeinschaftskrankenhaus Herdecke,https://www.herdecke.de/,Anthroposophic Medicine,University-affiliated anthroposophic hospital integrating conventional and anthroposophic medicine,Herdecke,Germany,anthroposophic-medicine;hospital;university;germany,Unverified
Eurythmy Spring Valley,https://www.eurythmy.org/,Eurythmy/Arts,North America's oldest four-year eurythmy training program in Chestnut Ridge New York,Chestnut Ridge,USA,eurythmy;training;arts;new-york,Yes
American Eurythmy School,https://www.americaneurythmy.org/,Eurythmy/Arts,Four-year eurythmy training near Mount Shasta California founded in 1984,Weed,USA,eurythmy;training;california;arts,Unverified
Sound Circle Eurythmy Training,https://soundcircleeurythmy.org/,Eurythmy/Arts,Full-time four-year eurythmy diploma program in Boulder Colorado,Boulder,USA,eurythmy;training;colorado;arts,Unverified
Peredur Eurythmy,https://peredureurythmy.com/,Eurythmy/Arts,Eurythmy training centre in East Grinstead Sussex evolved from London School of Eurythmy,East Grinstead,UK,eurythmy;training;sussex;arts,Unverified
Eurythmy Association of Great Britain and Ireland,https://www.eurythmyassociation.uk/,Eurythmy/Arts,Professional association for eurythmists in UK and Ireland,UK,UK,eurythmy;professional;association;uk,Unverified
Goetheanum School of Spiritual Science,https://goetheanum.ch/en/school,Society/Organization,International school with 12 sections conducting research and teaching in anthroposophic fields,Dornach,Switzerland,goetheanum;school;spiritual-science;research,Yes
Alanus University,https://www.alanus.edu/en/home,Society/Organization,State-accredited university offering art and social sciences education based on anthroposophy,Alfter,Germany,anthroposophy;university;arts;germany,Yes
Emerson College,https://emerson.org.uk/,Society/Organization,Adult education center for Waldorf teacher training and anthroposophic studies since 1962,Forest Row,UK,waldorf;teacher-training;anthroposophy;uk,Yes
Rudolf Steiner College Canada,https://rscc.ca/,Waldorf School,Full-time Waldorf teacher education program in Canada,Canada,Canada,waldorf;teacher-training;canada,Unverified
Sunbridge Institute,https://www.sunbridge.edu/,Waldorf School,North America's oldest Waldorf teacher education institute offering low-residency programs,Chestnut Ridge,USA,waldorf;teacher-training;education;new-york,Yes
Center for Anthroposophy,https://centerforanthroposophy.org/,Waldorf School,Waldorf teacher education and renewal center in Wilton New Hampshire,Wilton,USA,waldorf;teacher-training;anthroposophy;new-hampshire,Yes
Great Lakes Waldorf Institute,https://www.greatlakeswaldorf.org/,Waldorf School,Three-year Waldorf teacher education program in Milwaukee Wisconsin,Milwaukee,USA,waldorf;teacher-training;wisconsin,Yes
Antioch University Waldorf Education Program,https://www.antioch.edu/academics/education/waldorf-education-med/,Waldorf School,Only accredited Waldorf master's program at fully-accredited university,Keene,USA,waldorf;teacher-training;masters;new-hampshire,Yes
Waldorf Institute of Southern California,https://www.waldorfteaching.org/,Waldorf School,AWSNA and WECAN-recognized Waldorf teacher training program,Southern California,USA,waldorf;teacher-training;california,Unverified
Mount Mary University Waldorf Program,https://mtmary.edu/majors-programs/graduate/education/waldorf-teacher-certificate.html,Waldorf School,Graduate Waldorf teacher certificate program,Milwaukee,USA,waldorf;teacher-training;wisconsin,Unverified
Bay Area Center for Waldorf Teacher Training,https://www.bacwtt.org/,Waldorf School,Waldorf teacher training program in Northern California,San Francisco Bay Area,USA,waldorf;teacher-training;california,Unverified
Sophia Institute,https://www.sophiainstitute.us/,Waldorf School,Waldorf teacher training and foundation courses in anthroposophy,USA,USA,waldorf;teacher-training;anthroposophy;online,Unverified
Rudolf Steiner Press,https://www.rudolfsteinerpress.com/,Publisher/Media,UK publisher of Rudolf Steiner works and anthroposophy books,London,UK,publisher;anthroposophy;rudolf-steiner,Yes
SteinerBooks / Anthroposophic Press,https://steinerbooks.org/,Publisher/Media,Independent US nonprofit publisher and bookshop promoting Rudolf Steiner's works,Spencertown,USA,publisher;anthroposophy;bookshop;nonprofit,Yes
Temple Lodge Publishing,https://www.templelodge.com/,Publisher/Media,Independent UK publisher specializing in anthroposophy and spiritual science,Forest Row,UK,publisher;anthroposophy;spiritual-science,Yes
Anthroposophic Publications Directory,https://anthroposophicalpublications.org/Publishers.html,Publisher/Media,Comprehensive directory of anthroposophical publishers worldwide,International,International,publisher;directory;anthroposophy,Yes
LILIPOH Magazine,https://lilipoh.com/,Publisher/Media,Quarterly magazine on holistic health wellness and anthroposophy,USA,USA,magazine;holistic-health;anthroposophy,Yes
New View Magazine,https://www.newview.org.uk/,Publisher/Media,Quarterly UK magazine exploring anthroposophy and contemporary issues since 1996,London,UK,magazine;anthroposophy;quarterly,Yes
The Present Age,https://www.anthroposophy.org/anthroposophys-press/present-age/,Publisher/Media,Magazine on environmental educational and social issues from anthroposophical perspective,International,International,magazine;anthroposophy;social-issues,Unverified
Golden Blade Journal,https://www.waldorflibrary.org/journals/164-golden-blade,Publisher/Media,Annual journal exploring anthroposophical perspectives on contemporary issues 1949-2009,International,International,journal;anthroposophy;annual,Yes
Being Human Magazine,https://anthroposophy.org/being-human/,Publisher/Media,Official publication of the Anthroposophical Society in America sent to members,USA,USA,magazine;membership;anthroposophy,Yes
Deepening Anthroposophy Newsletter,https://www.deepeninganthroposophy.org/,Publisher/Media,Independent English-language newsletter for anthroposophists worldwide,International,International,newsletter;anthroposophy,Unverified
Research on Steiner Education,https://unknown.placeholder,Publisher/Media,Peer-reviewed academic journal on Waldorf education published biannually,International,International,journal;waldorf;education;peer-reviewed,Yes
Holistic Science Journal,https://unknown.placeholder,Publisher/Media,Interdisciplinary journal bridging sciences and humanities from 2010,International,International,journal;science;humanities,Unverified
Journal for Anthroposophy,https://unknown.placeholder,Publisher/Media,Twice-yearly publication by Anthroposophical Society in America,USA,USA,journal;anthroposophy;membership,Yes
The Anthroposopher Podcast,https://anthroposophy.org/podcast/,Publisher/Media,Official podcast of the Anthroposophical Society exploring anthroposophy in the modern world,USA,USA,podcast;anthroposophy;media,Yes
Extending the Art of Healing Through Anthroposophy,https://healingandanthroposophy.transistor.fm/,Publisher/Media,Podcast exploring health and anthroposophical medicine,International,International,podcast;anthroposophic-medicine,Unverified
Rudolf Steiner Archive,https://rsarchive.org/,Online Resource,Largest digital library of Rudolf Steiner works in English with 6000+ texts,Interlochen,USA,archive;rudolf-steiner;digital;library,Yes
Rudolf Steiner e.Lib,https://www.rudolfsteinerelib.org/,Online Resource,Electronic archive of 6000+ collected works of Rudolf Steiner in English,International,International,archive;rudolf-steiner;digital,Yes
Steiner Online Library,https://rudolfsteinerlibrary.org/,Online Resource,Nonprofit dedicated to preserving and making accessible Rudolf Steiner's works,Interlochen,USA,archive;digital;steiner;nonprofit,Yes
The Christian Community,https://www.thechristiancommunity.org/,Christian Community,Religious movement founded 1922 with 200 congregations worldwide,International,International,christian-community;religious;anthroposophy,Yes
The Christian Community - North America,https://www.thechristiancommunity.org/congregations-by-region/,Christian Community,16 North American congregations offering sacramental services,North America,USA,christian-community;congregations,Yes
The Christian Community UK,http://www.thechristiancommunity.co.uk/,Christian Community,UK congregations offering sacramental Christian services,UK,UK,christian-community;congregations;uk,Yes
The Christian Community International,https://christengemeinschaft-international.org/en,Christian Community,International organization coordinating 200+ congregations worldwide,Berlin,Germany,christian-community;international;congregations,Yes
Threefold Educational Foundation,https://threefold.org/,Society/Organization,Living community of practical work inspired by Rudolf Steiner since 1926,Chestnut Ridge,USA,anthroposophy;community;education;biodynamic,Yes
Association for Anthroposophic Psychology,https://www.anthroposophicpsychology.org/,Study Group/Research,Professional organization offering certification in anthroposophic psychology and psychotherapy,USA,USA,psychology;anthroposophy;certification,Yes
Research Institute for Waldorf Education,https://www.waldorfresearchinstitute.org/,Study Group/Research,Research organization supporting Waldorf education with publications and conferences,Hudson,USA,waldorf;research;education;bulletin,Yes
Anthroposophic Health Association,https://anthroposophichealth.org/,Study Group/Research,Directory of practitioners and therapists in anthroposophic health,USA,USA,anthroposophic-medicine;therapists;directory,Unverified
Section for the Literary Arts and Humanities,https://unknown.placeholder,Society/Organization,Section of Goetheanum School of Spiritual Science,Dornach,Switzerland,goetheanum;literary-arts;section,Unverified
Medical Section - Goetheanum,https://medicalsection.goetheanum.ch/anthroposophic-medicine,Study Group/Research,International medical section coordinating anthroposophic medical work,Dornach,Switzerland,goetheanum;anthroposophic-medicine;research,Yes
European Federation of Anthroposophic Medical Associations,https://www.efpam.eu/eu/,Study Group/Research,Coordinating body for 24 anthroposophic hospitals and 120+ outpatient centers in Europe,International,International,anthroposophic-medicine;european;federation,Yes
International Federation of Anthroposophic Medical Associations,https://www.ivaa.info/,Study Group/Research,International organization coordinating anthroposophic medical associations worldwide,International,International,anthroposophic-medicine;international;federation,Yes
Wisdom Working Directory,https://www.wisdomworking.org/about,Online Resource,Directory of 500+ organizations and practitioners in Hudson River Watershed area inspired by Rudolf Steiner,Hudson River Valley,USA,directory;organizations;practitioners,Unverified
Association for Anthroposophic Speech Arts in North America,https://creativespeech.org/,Eurythmy/Arts,Professional organization fostering speech formation in performance education and therapy,North America,USA,speech-formation;arts;anthroposophy,Unverified
Council for Anthroposophical Health and Social Care,https://unknown.placeholder,Society/Organization,International registry for anthroposophic medical practitioners and therapists,International,International,anthroposophic-medicine;registry;practitioners,Unverified
Ariesianum - Waldorf Research Center,https://unknown.placeholder,Study Group/Research,Research organization studying Waldorf education and its effects,International,International,waldorf;research;education,Unverified
Aurora Australis Eurythmy Training,https://unknown.placeholder,Eurythmy/Arts,Six-year eurythmy training program in Melbourne Australia,Melbourne,Australia,eurythmy;training;australia,Unverified
Pafam UK,https://pafam.org.uk/surgeries/,Society/Organization,Patients and Friends of Anthroposophic Medicine organization finding surgeries and therapies,UK,UK,anthroposophic-medicine;patients;uk,Unverified
Bethe Foundation,https://unknown.placeholder,Society/Organization,Support organization for anthroposophic medical research,International,International,foundation;anthroposophic-medicine;research,Unverified
Arlesheim Academy for Anthroposophic Medicine,https://en.akademie-arlesheim.ch/ueber-uns,Society/Organization,Training academy for anthroposophic medicine in Switzerland,Arlesheim,Switzerland,anthroposophic-medicine;training;switzerland,Unverified
Eugen Kolisko Academy,http://kolisko-academy.org/,Society/Organization,International school for anthroposophic medicine,International,International,anthroposophic-medicine;training,Unverified
Escamp,https://www.escamp.org/,Society/Organization,European Scientific Cooperative on Anthroposophic Medicinal Products,International,International,anthroposophic-medicine;research;european,Unverified
Waldorf Library Online,https://www.waldorflibrary.org/,Online Resource,Digital library of Waldorf education resources articles and journals,USA,USA,waldorf;library;online,Yes
Inner Work Path,https://www.innerworkpath.com/,Study Group/Research,Online anthroposophy courses and study group platform,USA,USA,anthroposophy;online;study-groups,Unverified
Steiner Online Learning,https://www.steinerlive.org/,Online Resource,Online educational programs and courses on anthroposophy,International,International,anthroposophy;online;learning,Unverified
AnthroMed Register,http://www.anthromed.net/,Online Resource,Worldwide register of anthroposophic medical practitioners and therapists,International,International,anthroposophic-medicine;register;practitioners,Yes
Waldorf Early Childhood Association of North America,https://waldorfearlychildhood.org/,Society/Organization,Organization supporting early childhood Waldorf education,USA,USA,waldorf;early-childhood;education,Yes
Freunde Waldorf,https://www.freunde-waldorf.de/en/waldorf-worldwide/waldorf-education/waldorf-world-list/,Online Resource,Organization publishing comprehensive Waldorf World List directory,Germany,Germany,waldorf;directory;world-list,Yes
Biodynamic Land Trust UK,https://biodynamiclandtrust.org.uk/,Society/Organization,UK organization protecting community-connected biodynamic farms,UK,UK,biodynamic;land-trust;conservation,Yes
Heckfield Place,https://unknown.placeholder,Society/Organization,UK's first biodynamic hotel integrating agricultural practices,UK,UK,biodynamic;hotel;agriculture,Unverified
Camphillville Collective,https://camphillvillecollective.org/,Intentional Community,Network of smaller Camphill initiatives and villages,International,International,camphill;intentional-community;cooperative,Unverified
Biodynamic Association Canada,https://unknown.placeholder,Society/Organization,Canadian organization promoting biodynamic agriculture,Canada,Canada,biodynamic;agriculture;canada,Unverified
Demeter Canada,https://unknown.placeholder,Society/Organization,Biodynamic certification organization for Canada,Canada,Canada,biodynamic;certification;canada,Unverified
IASWECE,https://unknown.placeholder,Society/Organization,International Association of Steiner Waldorf Early Childhood Education,International,International,waldorf;early-childhood;international,Yes
Genesis Farm CSA,https://csgatgenesisfarm.com/,Biodynamic Farm,One of first CSAs in the country with biodynamic and organic practices,Blairstown,USA,csa;biodynamic;organic;pioneer,Yes
Temple-Wilton Community Farm,https://www.twcfarm.com/,Biodynamic Farm,CSA farm using biodynamic and organic principles since 1986,Temple,USA,biodynamic;csa;community-farm,Unverified
Hawthorne Valley Farm,https://hawthornevalleyfarm.org/,Biodynamic Farm,300-member CSA using biodynamic methods in Columbia County and NYC area,Ghent,USA,biodynamic;csa;new-york,Unverified
Filigreen Farm,https://www.filigreen.com/,Biodynamic Farm,Demeter-certified biodynamic farm in Anderson Valley California,Anderson Valley,USA,biodynamic;demeter;california,Unverified
Apricot Lane Farms,https://www.apricotlane.com/,Biodynamic Farm,Demeter-certified biodynamic operation in Moorpark California,Moorpark,USA,biodynamic;demeter;california,Unverified
Ceres Produce,https://www.ceresproduce.co.nz/,Biodynamic Farm,Long-running biodynamic produce provider in Auckland New Zealand,Auckland,New Zealand,biodynamic;organic;new-zealand,Unverified
Hohepa Homes,https://www.hohepa.org.nz/,Biodynamic Farm,One of oldest biodynamic farms in New Zealand in Hawke's Bay,Hawke's Bay,New Zealand,biodynamic;farm;new-zealand,Unverified
Tablehurstfarm.org,https://www.tablehurstfarm.org.uk/biodynamic-farming,Biodynamic Farm,Biodynamic farm in UK with focus on sustainable agriculture,UK,UK,biodynamic;agriculture;sustainable,Unverified
Farmacy London,https://farmacylondon.com/pages/the-farm,Biodynamic Farm,London-based farm supporting biodynamic practices,London,UK,biodynamic;farm;london,Unverified
Eurythmy Therapy International,https://eurythmytherapy-medsektion.net/en/,Eurythmy/Arts,International organization coordinating eurythmy therapy training and practice,International,International,eurythmy;therapy;international,Yes
Developing the Self,https://www.developingtheself.org/eurythmy-program,Eurythmy/Arts,Eurythmy program offered through personal development initiative,International,International,eurythmy;personal-development,Unverified
Eurythmy Online,https://eurythmyonline.com/,Eurythmy/Arts,Online eurythmy classes and on-demand lessons making eurythmy accessible,International,International,eurythmy;online;classes,Unverified
Goetheanum Studium,https://studium.goetheanum.ch/en/online-studies,Online Resource,Online courses and studies programs offered by the Goetheanum,Dornach,Switzerland,goetheanum;online;courses,Unverified
Steiner School New York,https://unknown.placeholder,Society/Organization,Rudolf Steiner School in Manhattan offering comprehensive Waldorf education,New York,USA,waldorf;school;new-york;manhattan,Yes
Denver Waldorf School,https://unknown.placeholder,Society/Organization,Waldorf school in Denver Colorado,Denver,USA,waldorf;school;colorado,Unverified
Maine Coast Waldorf School,https://unknown.placeholder,Society/Organization,Waldorf school in Maine with exchange programs,Maine,USA,waldorf;school;maine,Unverified
Orchard Valley Waldorf School,https://unknown.placeholder,Society/Organization,Waldorf school in Mid-Atlantic region,Mid-Atlantic,USA,waldorf;school;mid-atlantic,Unverified
Tucson Waldorf School,https://unknown.placeholder,Society/Organization,Waldorf school in Arizona,Tucson,USA,waldorf;school;arizona,Unverified
Whidbey Island Waldorf School,https://unknown.placeholder,Society/Organization,Waldorf school serving Pacific Northwest,Washington,USA,waldorf;school;washington,Unverified
Island Waldorf School,https://iws.edu.hk/,Waldorf School,Waldorf school in Hong Kong offering therapeutic eurythmy,Hong Kong,Hong Kong,waldorf;school;asia;eurythmy,Unverified
Goetheanum Eurythmy Section,https://unknown.placeholder,Society/Organization,International section coordinating eurythmy training and artistic development,Dornach,Switzerland,goetheanum;eurythmy;section,Unverified
Waldorf Publications,https://www.waldorfpublications.org/pages/about-us,Publisher/Media,Organization publishing resources and materials for Waldorf education,USA,USA,waldorf;publisher;education,Unverified
