name,website,city,state,country,category,description,contact_email,phone,verified,active
Green Meadow Waldorf School,https://www.greenmeadow.org/,Spring Valley,NY,USA,education,Founded in 1947 as part of the Threefold anthroposophical community offering pre-K through 12th grade,,,Yes,Yes
Highland Hall Waldorf School,https://highlandhall.org/,Northridge,CA,USA,education,One of the oldest Waldorf schools on the West Coast with high school program since 1968,,,Yes,Yes
Sacramento Waldorf School,https://www.sacwaldorf.org/,Fair Oaks,CA,USA,education,Among the largest Waldorf schools in North America with 400+ students serving K-12 since 1959,,,Yes,Yes
Kimberton Waldorf School,https://www.kimberton.org/,Phoenixville,PA,USA,education,Second oldest Waldorf school in North America established in 1941 serving PK-12,,,Yes,Yes
High Mowing School,https://www.highmowing.org/,Wilton,NH,USA,education,Oldest Waldorf high school and only Waldorf boarding school in the United States,,,Yes,Yes
New Amsterdam School,https://www.newamsterdamschool.org/,New York,NY,USA,education,Independent Waldorf school in New York City,,,Yes,Yes
Hawthorne Valley Waldorf School,https://hawthornevalley.org/,Ghent,NY,USA,education,Waldorf school on a 900-acre Demeter-certified biodynamic farm campus in the Hudson Valley,,,Yes,Yes
Toronto Waldorf School,https://torontowaldorfschool.com/,Toronto,ON,Canada,education,Private Waldorf school serving Toronto area from preschool through high school,,,Yes,Yes
Vancouver Waldorf School,https://vancouverwaldorfschool.ca/,North Vancouver,BC,Canada,education,Independent Waldorf school in North Vancouver offering Steiner education,,,Yes,Yes
Ecole Rudolf Steiner de Montreal,https://ersm.org/,Montreal,QC,Canada,education,French-language Waldorf school founded in 1980 as first accredited Waldorf school in Quebec,,,Yes,Yes
St. Paul's Steiner School,https://www.stpaulssteinerschool.org/,London,,UK,education,Independent Steiner school in North London serving 150+ students,,,Yes,Yes
South Devon Steiner School,https://sdsteiner.org/,Devon,,UK,education,Independent Steiner school in rural Devon focusing on holistic education,,,Yes,Yes
Titirangi Rudolf Steiner School,https://titirangi.steiner.school.nz/,Wellington,,New Zealand,education,Steiner school in New Zealand with integrated primary and secondary education,,,Yes,Yes
Desert Marigold School,https://desertmarigold.org/,Phoenix,AZ,USA,education,Public Waldorf school in Phoenix Arizona,,,Yes,Yes
Mountain Phoenix Community School,https://mountainphoenix.org/,Wheat Ridge,CO,USA,education,Public Waldorf charter school in Colorado,,,Yes,Yes
Journey Charter School,https://journeyschool.net/,Aliso Viejo,CA,USA,education,Full member public Waldorf charter school in Southern California,,,Yes,Yes
Portland Village School,https://portlandvillageschool.org/,Portland,OR,USA,education,Public Waldorf charter school in Portland Oregon,,,Yes,Yes
Kona Pacific Public Charter School,https://kppcs.org/,Kealakekua,HI,USA,education,Public Waldorf charter school in Hawaii,,,Yes,Yes
Credo High School,https://credohigh.org/,Rohnert Park,CA,USA,education,Full member public Waldorf high school in Sonoma County California,,,Yes,Yes
Wasatch Charter School,https://wasatchwaldorf.org/,Holladay,UT,USA,education,Full member public Waldorf charter school in Utah,,,Yes,Yes
Sunbridge Institute,https://www.sunbridge.edu/,Chestnut Ridge,NY,USA,education,North America's oldest Waldorf teacher education institute offering low-residency programs,,,Yes,Yes
Center for Anthroposophy,https://centerforanthroposophy.org/,Wilton,NH,USA,education,Waldorf teacher education and renewal center with high school teacher training,,,Yes,Yes
Great Lakes Waldorf Institute,https://www.greatlakeswaldorf.org/,Milwaukee,WI,USA,education,Three-year Waldorf teacher education program in Milwaukee Wisconsin,,,Yes,Yes
Antioch University Waldorf Education Program,https://www.antioch.edu/academics/education/waldorf-education-med/,Keene,NH,USA,education,Only accredited Waldorf master's program at a fully-accredited university,,,Yes,Yes
Emerson College,https://emerson.org.uk/,Forest Row,,UK,education,Adult education center for Waldorf teacher training and anthroposophic studies since 1962,,,Yes,Yes
Alanus University,https://www.alanus.edu/en/home,Alfter,,Germany,education,State-accredited university offering art and social sciences education including eurythmy degree programs,,,Yes,Yes
Rudolf Steiner College Canada,https://rscc.ca/,Toronto,ON,Canada,education,Full-time Waldorf teacher education program in Canada,,,Yes,Yes
Sophia Institute,https://www.sophiainstitute.us/,,,,education,Waldorf teacher training and foundation courses in anthroposophy,,,Yes,Yes
Threefold Educational Foundation,https://threefold.org/,Chestnut Ridge,NY,USA,community,Living community since 1926 home to Waldorf schools - biodynamic farm - eurythmy training - and teacher education,,,Yes,Yes
Fellowship Community,https://www.fellowshipcommunity.org/,Spring Valley,NY,USA,community,Intentional community of 150 people founded in 1966 centered on care of the elderly based on anthroposophy,,,Yes,Yes
Otto Specht School,https://www.ottospechtschool.org/,Chestnut Ridge,NY,USA,education,Waldorf education for children with special needs and learning differences,,,Yes,Yes
Pfeiffer Center,https://threefoldcommunityfarm.org/,Chestnut Ridge,NY,USA,agriculture,Practice - research - and teaching of biodynamic agriculture at Threefold Community Farm,,,Yes,Yes
Hungry Hollow Co-Op,https://hungryhollow.coop/,Chestnut Ridge,NY,USA,community,Natural foods cooperative serving the Threefold anthroposophical community,,,Yes,Yes
Hawthorne Valley Farm,https://hawthornevalley.org/,Ghent,NY,USA,agriculture,900-acre Demeter-certified biodynamic farm with farm store - education programs - and community supported agriculture,,,Yes,Yes
Demeter USA,https://demeter-usa.org/,Phoenixville,PA,USA,agriculture,Only certifier for biodynamic farms and products in the United States,info@demeter-usa.org,(541) 929-7148,Yes,Yes
Biodynamic Association,https://www.biodynamics.com/,Milwaukee,WI,USA,agriculture,US-based nonprofit promoting biodynamic agriculture through education and advocacy,,,Yes,Yes
Demeter International,https://demeter.net/,Dornach,,Switzerland,agriculture,International certification federation for biodynamic agriculture with 46 member organizations in 36 countries,,,Yes,Yes
Biodynamic Association UK,https://www.biodynamic.org.uk/,Bristol,,UK,agriculture,UK charitable organization founded in 1929 supporting biodynamic farming and gardening,,,Yes,Yes
Biodynamic Agriculture Australia,https://biodynamics.net.au/,Melbourne,,Australia,agriculture,Organization promoting biodynamic approaches to farming in Australia,,,Yes,Yes
Biodynamic Association New Zealand,https://biodynamic.org.nz/,Christchurch,,New Zealand,agriculture,New Zealand organization fostering biodynamic agriculture and horticulture,,,Yes,Yes
Kimberton CSA,https://www.kimbertoncsa.org/,Kimberton,PA,USA,agriculture,First CSA in Pennsylvania established in 1987 with 10 acres of biodynamic organic vegetables,,,Yes,Yes
Frey Vineyards,https://www.freywine.com/,Redwood Valley,CA,USA,agriculture,First biodynamic winery in the USA with 30+ years of organic and biodynamic farming,,,Yes,Yes
Benziger Family Winery,https://www.benziger.com/,Glen Ellen,CA,USA,agriculture,All four estate vineyards are Demeter-certified biodynamic - a pioneer in sustainable winemaking,,,Yes,Yes
Camphill Association of North America,https://www.camphill.org/,,,,community,Membership organization for 15 North American Camphill communities,,,Yes,Yes
Camphill Village USA (Copake),https://camphillvillage.org/,Copake,NY,USA,community,Vibrant lifesharing community of 250 individuals including 100+ adults with developmental differences,,,Yes,Yes
Camphill Village Kimberton Hills,https://www.camphillkimberton.org/,Kimberton,PA,USA,community,Farming - gardening - and handcrafting community including adults with developmental disabilities founded 1972,,,Yes,Yes
The Camphill School,https://www.camphillschool.org/,Glenmoore,PA,USA,community,Waldorf-based school and residential community for children with developmental disabilities,,,Yes,Yes
Camphill Soltane,https://www.camphillsoltane.org/,Glenmoore,PA,USA,community,Education - healing - relationship building - and meaningful work for young adults with disabilities,,,Yes,Yes
Camphill Communities California,https://camphillca.org/,Soquel,CA,USA,community,Inclusive life-sharing community for adults on the central Pacific coast,,,Yes,Yes
Camphill Village Minnesota,https://www.camphillminnesota.org/,Sauk Centre,MN,USA,community,Lifesharing community of 45 people where members live - learn - celebrate and grow together,,,Yes,Yes
Heartbeet Lifesharing,https://www.heartbeetcamphill.org/,Hardwick,VT,USA,community,Lifesharing Camphill community and licensed therapeutic residence in Vermont,,,Yes,Yes
Triform Camphill Community,https://www.triformcamphill.org/,Hudson,NY,USA,community,Camphill community for young adults with disabilities in Hudson New York,,,Yes,Yes
Camphill Hudson,https://www.camphillhudson.org/,Hudson,NY,USA,community,Camphill community focused on social arts and integrated theater program,,,Yes,Yes
Camphill Ghent,https://www.camphillghent.org/,Chatham,NY,USA,community,Community serving the needs of elders in the Hudson Valley,,,Yes,Yes
Plowshare Farm,https://www.plowsharefarm.org/,Greenfield,NH,USA,community,Inclusive Camphill community for people with varied capabilities,,,Yes,Yes
Raphael Village,https://www.raphaelvillage.org/,New Orleans,LA,USA,community,Camphill-inspired community supporting differently-abled young adults,,,Yes,Yes
Glenora Farm,https://glenorafarm.org/,Duncan,BC,Canada,community,Lifesharing community where adults with developmental disabilities live - work and learn together,,,Yes,Yes
The Cascadia Society,https://www.cascadiasociety.org/,North Vancouver,BC,Canada,community,Integrated lifesharing community sharing educational - work and therapeutic experiences,,,Yes,Yes
Camphill Ontario,https://camphillontario.org/,Angus,ON,Canada,community,Enables adults with developmental disabilities to live - learn and work in community,,,Yes,Yes
Community Homestead,https://www.communityhomestead.org/,Osceola,WI,USA,community,Camphill-inspired lifesharing community in Wisconsin founded 1995,,,Yes,Yes
Camphill England and Wales,http://www.camphill.org.uk/communities,London,,UK,community,Coordinating body for Camphill communities in England and Wales,,,Yes,Yes
Camphill Village Trust,https://www.camphillvillagetrust.org.uk/,Stourbridge,,UK,community,Registered charity running multiple Camphill communities across the UK,,,Yes,Yes
Camphill Scotland,https://www.camphillscotland.org.uk/,Aberdeen,,UK,community,Network of ten Camphill communities in Scotland where the movement originated in 1940,,,Yes,Yes
Newton Dee Village,https://www.newtondee.org.uk/,Aberdeen,,UK,community,One of the largest Camphill communities in Scotland near where the movement began,,,Yes,Yes
Botton Village,https://www.cvt.org.uk/botton-village,Danby,,UK,community,Historic Camphill Village community in the North York Moors,,,Yes,Yes
Camphill Communities of Ireland,https://www.camphill.ie/,Kilkenny,,Ireland,community,Network of Camphill communities across Ireland,,,Yes,Yes
Camphill Farm Community South Africa,https://www.camphillfarm.org.za/,Hermanus,,South Africa,community,Camphill farming community in the Western Cape of South Africa,,,Yes,Yes
Physicians' Association for Anthroposophic Medicine,https://anthroposophicmedicine.org/,Ann Arbor,MI,USA,health,Professional organization for MDs and DOs practicing anthroposophic medicine with provider directory,,,Yes,Yes
International Federation of Anthroposophic Medical Associations,https://www.ivaa.info/,,,,health,International organization coordinating anthroposophic medical associations in 80+ countries,,,Yes,Yes
European Federation of Anthroposophic Medical Associations,https://www.efpam.eu/,,,,health,Coordinating body for 24 anthroposophic hospitals and 120+ outpatient centers in Europe,,,Yes,Yes
Medical Section - Goetheanum,https://medicalsection.goetheanum.ch/,Dornach,,Switzerland,health,International medical section coordinating anthroposophic medical research and practice,,,Yes,Yes
Klinik Arlesheim,https://www.klinik-arlesheim.ch/,Arlesheim,,Switzerland,health,First anthroposophic hospital in the world founded in 1921 offering integrative medicine,,,Yes,Yes
Gemeinschaftskrankenhaus Herdecke,https://www.herdecke.de/,Herdecke,,Germany,health,University-affiliated anthroposophic hospital integrating conventional and anthroposophic medicine,,,Yes,Yes
Filderklinik,https://www.filderklinik.de/,Filderstadt,,Germany,health,Major anthroposophic hospital founded in 1974 with comprehensive medical services,,,Yes,Yes
Raphael Hospital,https://www.raphaelhospital.co.uk/,Brighton,,UK,health,The only anthroposophic hospital in the UK serving patients nationwide,,,Yes,Yes
Weleda USA,https://www.weleda.com/,Irvington,NY,USA,health,World's leading manufacturer of anthroposophic medicines and natural cosmetics,info@weleda.com,(800) 241-1030,Yes,Yes
Uriel Pharmacy,https://shopuriel.com/,East Troy,WI,USA,health,Anthroposophic homeopathic pharmacy founded in 1996 using biodynamically grown medicinal herbs,,(866) 642-2858,Yes,Yes
True Botanica LLC,https://www.truebotanica.com/,Hartland,WI,USA,health,Manufacturer of anthroposophic medicines and supplements,info@truebotanica.com,(262) 912-0970,Yes,Yes
WALA Medicines,https://www.wala.world/en/,Bad Boll,,Germany,health,Manufacturer of anthroposophic medicines founded by Rudolf Hauschka in 1935,,,Yes,Yes
Eurythmy Spring Valley,https://www.eurythmy.org/,Chestnut Ridge,NY,USA,arts,North America's oldest four-year eurythmy training program,,,Yes,Yes
Eurythmy Association of North America,https://eana.org/,,,,arts,Professional association for eurythmists in North America,,,Yes,Yes
Sound Circle Eurythmy Training,https://soundcircleeurythmy.org/,Boulder,CO,USA,arts,Full-time four-year eurythmy diploma program since 2010,,,Yes,Yes
Therapeutic Eurythmy Training,https://therapeuticeurythmytraining.com/,,,,arts,Three-year therapeutic eurythmy course certified by the Medical Section at the Goetheanum,,,Yes,Yes
Eurythmy UK,https://eurythmyuk.org/,East Grinstead,,UK,arts,Four-year vocational eurythmy training at the Peredur Campus,,,Yes,Yes
Auriel Eurythmy,https://www.auriel-eurythmy.org/,Mexico City,,Mexico,arts,Eurythmy training in Mexico City with flexible scheduling,,,Yes,Yes
Association for Anthroposophic Speech Arts in North America,https://creativespeech.org/,,,,arts,Professional organization fostering speech formation in performance - education and therapy,,,Yes,Yes
SteinerBooks / Anthroposophic Press,https://steinerbooks.org/,Spencertown,NY,USA,publishing,Independent US nonprofit publisher of Rudolf Steiner's works with bookshop since 1928,,,Yes,Yes
Rudolf Steiner Press,https://www.rudolfsteinerpress.com/,London,,UK,publishing,UK publisher and sole distributor of Rudolf Steiner works in the United Kingdom,,,Yes,Yes
Temple Lodge Publishing,https://www.templelodge.com/,Forest Row,,UK,publishing,Independent UK publisher specializing in anthroposophy and spiritual science,,,Yes,Yes
Rudolf Steiner Bookstore,https://rudolfsteinerbookstore.com/,,,,publishing,Approaching 75th anniversary - expanded offerings for communities locally and worldwide,,,Yes,Yes
LILIPOH Magazine,https://lilipoh.com/,,,,publishing,Quarterly magazine on holistic health - wellness and anthroposophy,,,Yes,Yes
Being Human Magazine,https://anthroposophy.org/being-human/,,,,publishing,Official publication of the Anthroposophical Society in America,,,Yes,Yes
New View Magazine,https://www.newview.org.uk/,London,,UK,publishing,Quarterly UK magazine exploring anthroposophy and contemporary issues since 1996,,,Yes,Yes
Rudolf Steiner Archive,https://rsarchive.org/,Interlochen,MI,USA,publishing,Largest digital library of Rudolf Steiner works in English with 6000+ texts,,,Yes,Yes
Rudolf Steiner e.Lib,https://www.rudolfsteinerelib.org/,,,,publishing,Electronic archive of 6000+ collected works of Rudolf Steiner in English,,,Yes,Yes
Waldorf Library Online,https://www.waldorflibrary.org/,,,,publishing,Digital library of Waldorf education resources - articles and journals,,,Yes,Yes
The Anthroposopher Podcast,https://anthroposophy.org/podcast/,,,,publishing,Official podcast of the Anthroposophical Society exploring anthroposophy in the modern world,,,Yes,Yes
The Christian Community,https://www.thechristiancommunity.org/,,,,community,Religious movement founded 1922 with 200+ congregations worldwide based on anthroposophy,,,Yes,Yes
The Christian Community - North America,https://www.thechristiancommunity.org/congregations-by-region/,,,,community,16 North American congregations offering sacramental services,,,Yes,Yes
The Christian Community International,https://christengemeinschaft-international.org/en,Berlin,,Germany,community,International organization coordinating 200+ congregations worldwide,,,Yes,Yes
Association for Anthroposophic Psychology,https://www.anthroposophicpsychology.org/,,,,health,Professional organization offering certification in anthroposophic psychology and psychotherapy,,,Yes,Yes
Research Institute for Waldorf Education,https://www.waldorfresearchinstitute.org/,Hudson,NY,USA,education,Research organization supporting Waldorf education with publications and conferences,,,Yes,Yes
Wisdom Working Directory,https://www.wisdomworking.org/,Hudson River Valley,NY,USA,community,Directory of 500+ organizations and practitioners in Hudson River Watershed area inspired by Rudolf Steiner,,,Yes,Yes
